symbol,name,in_drag_list,last,avg_vol_20d,avg_dollar_vol_m,trades,win_rate,avg_r,entries_per_month,confidence,profit_per_month_hkd
SBUX,Starbucks Corporation,False,95.83000183105469,6382555.0,611.6402573368073,32,46.875,0.05037499999999998,1.3333333333333333,可参考,33.58333333333332
ORCL,Oracle Corporation,False,147.61000061035156,30305485.0,4473.3926593470005,20,40.0,0.06410000000000006,0.8333333333333334,可参考,26.708333333333357
INTC,Intel Corporation,False,108.5999984741211,97901110.0,10632.060396614761,26,42.30769230769231,0.04084615384615388,1.0833333333333333,可参考,22.125000000000018
SMCI,"Super Micro Computer, Inc.",False,39.09000015258789,37774960.0,1476.6231921640015,21,42.857142857142854,0.14500000000000002,0.875,可参考,63.43750000000001
IONQ,"IonQ, Inc.",False,39.130001068115234,19099890.0,747.3787161008835,18,44.44444444444444,0.018055555555555578,0.75,可参考,6.770833333333342
RGTI,"Rigetti Computing, Inc.",False,15.760000228881836,16554980.0,260.9064885891342,18,44.44444444444444,0.002888888888888904,0.75,可参考,1.083333333333339
MSTR,Strategy Inc,False,153.9199981689453,27709940.0,4265.113914061584,16,50.0,0.07349999999999998,0.6666666666666666,可参考,24.499999999999996
LITE,Lumentum Holdings Inc.,False,930.9099731445312,4366655.0,4064.962688781433,30,53.333333333333336,0.34883333333333333,1.25,可参考,218.02083333333334
BABA,Alibaba Group Holding Limited,False,113.23999786376953,11181200.0,1266.1590641143798,18,33.333333333333336,-0.3022222222222222,0.75,可参考,-113.33333333333333
PDD,PDD Holdings Inc.,False,78.9000015258789,7490645.0,591.0119019298172,28,46.42857142857143,0.13364285714285726,1.1666666666666667,可参考,77.9583333333334
NIO,NIO Inc.,False,3.6600000858306885,40273255.0,147.4001167566812,23,34.78260869565217,-0.22739130434782612,0.9583333333333334,可参考,-108.95833333333333
LI,Li Auto Inc.,False,12.140000343322754,3019310.0,36.65442443659782,25,52.0,0.26808,1.0416666666666667,可参考,139.62499999999997
